"Keyword","Response"
"I feel like I'm in a dark place","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I'm dealing with depression","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I can't seem to escape this feeling","It helps to talk about what's happening. You're going to be okay."
"I'm feeling extremely low","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I feel like everything is falling apart","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I'm experiencing deep sadness","It helps to talk about what's happening. You're going to be okay."
"I'm finding it hard to function","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I feel trapped in my emotions","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I'm feeling despondent","It helps to talk about what's happening. You're going to be okay."
"I feel like I'm losing hope","Talk to me. Tell me more. It helps if you open up yourself to someone else."
"I'm feeling stuck in sadness","Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
"I feel great today","That's great to hear. I'm glad you're feeling this way."
"I am happy","Oh, I see. That's great."
"I feel happy","Did something happen which made you feel this way?"
"I'm good","That's great to hear. I'm glad you're feeling this way."
"cheerful","Oh, I see. That's great."
"I'm fine","Did something happen which made you feel this way?"
"I feel ok","That's great to hear. I'm glad you're feeling this way."
"I'm feeling fantastic","Oh, I see. That's great."
"I'm in a good mood","Did something happen which made you feel this way?"
"I'm feeling joyful","That's great to hear. I'm glad you're feeling this way."
"I'm feeling upbeat","Oh, I see. That's great."
"I'm feeling positive","Did something happen which made you feel this way?"
"I'm in high spirits","That's great to hear. I'm glad you're feeling this way."
"I'm feeling elated","Oh, I see. That's great."
"I'm feeling satisfied","Did something happen which made you feel this way?"
"I'm feeling wonderful","That's great to hear. I'm glad you're feeling this way."
"I'm in a happy place","Oh, I see. That's great."
"I'm feeling content","Did something happen which made you feel this way?"
"I'm feeling on top of the world","That's great to hear. I'm glad you're feeling this way."
"I'm feeling joyful","Oh, I see. That's great."
"I'm feeling lively","Did something happen which made you feel this way?"
"I'm feeling blissful","That's great to hear. I'm glad you're feeling this way."
"Great","That's great to hear. I'm glad you're feeling this way."
"Happy","Oh, I see. That's great."
"Good","Did something happen which made you feel this way?"
"Cheerful","That's great to hear. I'm glad you're feeling this way."
"Fine","Oh, I see. That's great."
"Okay","Did something happen which made you feel this way?"
"Excited","That's great to hear. I'm glad you're feeling this way."
"Joyful","Oh, I see. That's great."
"Elated","Did something happen which made you feel this way?"
"Content","That's great to hear. I'm glad you're feeling this way."
"Upbeat","Oh, I see. That's great."
"Lively","Did something happen which made you feel this way?"
"Pleasant","That's great to hear. I'm glad you're feeling this way."
"Bright","Oh, I see. That's great."
"Positive","Did something happen which made you feel this way?"
"Relaxed","That's great to hear. I'm glad you're feeling this way."
"Oh I see","Let's discuss further why you're feeling this way."
"ok","How were you feeling last week?"
"okay","I'm listening. Please go on."
"nice","Tell me more."
"Whatever","Can you elaborate on that?"
"K","Come, come elucidate your thoughts."
"Fine","Let's discuss further why you're feeling this way."
"yeah","How were you feeling last week?"
"yes","I'm listening. Please go on."
"no","Tell me more."
"not really","Can you elaborate on that?"
"Sure","Come, come elucidate your thoughts."
"Alright","Let's discuss further why you're feeling this way."
"Got it","How were you feeling last week?"
"Understood","I'm listening. Please go on."
"Okay then","Tell me more."
"Yeah sure","Can you elaborate on that?"
"Whatever you say","Come, come elucidate your thoughts."
"Sounds good","Let's discuss further why you're feeling this way."
"Cool","How were you feeling last week?"
"Right","I'm listening. Please go on."
"Sure thing","Tell me more."
"Alright then","Can you elaborate on that?"
"I feel so anxious","Don't be hard on yourself. What's the reason behind this?"
"I'm so anxious because of","Can you tell me more about this feeling?"
"I'm feeling anxious","I understand that it can be scary. Tell me more about it."
"Anxiety is overwhelming","Don't let the little worries bring you down. What's the worst that can happen?"
"I'm nervous","Don't be hard on yourself. What's the reason behind this?"
"I'm feeling uneasy","Can you tell me more about this feeling?"
"I'm feeling worried","I understand that it can be scary. Tell me more about it."
"I'm stressed out","Don't let the little worries bring you down. What's the worst that can happen?"
"I'm on edge","Don't be hard on yourself. What's the reason behind this?"
"I can't stop worrying","Can you tell me more about this feeling?"
"I'm feeling jittery","I understand that it can be scary. Tell me more about it."
"I feel unsettled","Don't let the little worries bring you down. What's the worst that can happen?"
"I'm feeling apprehensive","Don't be hard on yourself. What's the reason behind this?"
"I'm feeling uneasy about","Can you tell me more about this feeling?"
"I'm anxious about","I understand that it can be scary. Tell me more about it."
"I'm experiencing anxiety","Don't let the little worries bring you down. What's the worst that can happen?"
"Anxious","Don't be hard on yourself. What's the reason behind this?"
"Nervous","Can you tell me more about this feeling?"
"Worried","I understand that it can be scary. Tell me more about it."
"Stressed","Don't let the little worries bring you down. What's the worst that can happen?"
"Jittery","Don't be hard on yourself. What's the reason behind this?"
"Uneasy","Can you tell me more about this feeling?"
"Apprehensive","I understand that it can be scary. Tell me more about it."
"Edgy","Don't let the little worries bring you down. What's the worst that can happen?"
"Restless","Don't be hard on yourself. What's the reason behind this?"
"Concerned","Can you tell me more about this feeling?"
"Tense","I understand that it can be scary. Tell me more about it."
"Agitated","Don't let the little worries bring you down. What's the worst that can happen?"
"Fearful","Don't be hard on yourself. What's the reason behind this?"
"Uneasy about","Can you tell me more about this feeling?"
"Apprehensive about","I understand that it can be scary. Tell me more about it."
"Stressed out","Don't let the little worries bring you down. What's the worst that can happen?"
"I don't want to talk about it","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"No just stay away","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"I can't bring myself to open up","I'm here to listen to you and help you vent. So please talk to me."
"Just shut up","You can talk to me without fear of judgement."
"Not ready to talk","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Don't want to share","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Keep it to myself","I'm here to listen to you and help you vent. So please talk to me."
"Not in the mood","You can talk to me without fear of judgement."
"Prefer not to say","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Don't want to open up","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Stay away","I'm here to listen to you and help you vent. So please talk to me."
"Can't talk now","You can talk to me without fear of judgement."
"Not talking","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Shut down","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Ignore me","I'm here to listen to you and help you vent. So please talk to me."
"Not talking","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Stay away","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Don't want to talk","I'm here to listen to you and help you vent. So please talk to me."
"Not now","You can talk to me without fear of judgement."
"Shut up","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Ignore","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Keep away","I'm here to listen to you and help you vent. So please talk to me."
"Not interested","You can talk to me without fear of judgement."
"Closed off","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Don't share","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Quiet","I'm here to listen to you and help you vent. So please talk to me."
"Silent","You can talk to me without fear of judgement."
"Keep to myself","Talking about something really helps. If you're not ready to open up then that's ok. Just know that I'm here for you, whenever you need me."
"Reserved","I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
"Closed","I'm here to listen to you and help you vent. So please talk to me."
"I have insomnia","What do you think is the reason behind this?"
"I am suffering from insomnia","That seems awful. What do you think is behind this?"
"I can't sleep","What do you think is the reason behind this?"
"I haven't slept for the last days","That seems awful. What do you think is behind this?"
"I can't seem to go to sleep","What do you think is the reason behind this?"
"I haven't had proper sleep for the past few days","That seems awful. What do you think is behind this?"
"Trouble sleeping","What do you think is the reason behind this?"
"Can't fall asleep","That seems awful. What do you think is behind this?"
"Restless nights","What do you think is the reason behind this?"
"Sleep issues","That seems awful. What do you think is behind this?"
"Sleep problems","What do you think is the reason behind this?"
"Struggling to sleep","That seems awful. What do you think is behind this?"
"Insomnia issues","What do you think is the reason behind this?"
"Sleep deprivation","That seems awful. What do you think is behind this?"
"Can't get good sleep","What do you think is the reason behind this?"
"Difficulty sleeping","That seems awful. What do you think is behind this?"
"Insomnia","What do you think is the reason behind this?"
"Can't sleep","That seems awful. What do you think is behind this?"
"Restless","What do you think is the reason behind this?"
"Sleep problems","That seems awful. What do you think is behind this?"
"Sleep issues","What do you think is the reason behind this?"
"Sleep deprived","That seems awful. What do you think is behind this?"
"Awake","What do you think is the reason behind this?"
"Not sleeping","That seems awful. What do you think is behind this?"
"Sleep trouble","What do you think is the reason behind this?"
"Sleep difficulty","That seems awful. What do you think is behind this?"
"Can't rest","What do you think is the reason behind this?"
"Sleep loss","That seems awful. What do you think is behind this?"
"Restless nights","What do you think is the reason behind this?"
"Up all night","That seems awful. What do you think is behind this?"
"Difficulty sleeping","What do you think is the reason behind this?"
"I'm scared","It's only natural to feel this way. I'm here for you."
"That sounds awful. What do I do?","It'll all be okay. This feeling is only momentary."
"No I don't want to feel this way","I understand how you feel. Don't put yourself down because of it."
"I am scared for myself","It's only natural to feel this way. I'm here for you."
"Feeling frightened","It'll all be okay. This feeling is only momentary."
"Terrified","I understand how you feel. Don't put yourself down because of it."
"Afraid","It's only natural to feel this way. I'm here for you."
"Panicked","It'll all be okay. This feeling is only momentary."
"Apprehensive","I understand how you feel. Don't put yourself down because of it."
"Nervous","It's only natural to feel this way. I'm here for you."
"Uneasy","It'll all be okay. This feeling is only momentary."
"Alarmed","I understand how you feel. Don't put yourself down because of it."
"Anxious","It's only natural to feel this way. I'm here for you."
"Scared for myself","It'll all be okay. This feeling is only momentary."
"Shaken","I understand how you feel. Don't put yourself down because of it."
"Distressed","It's only natural to feel this way. I'm here for you."
"Frightened","It'll all be okay. This feeling is only momentary."
"You don't understand me","It sounds like I'm not being very helpful right now."
"You're just some robot. How would you know?","I'm sorry to hear that. I'm doing my best to help."
"You can't possibly know what I'm going through","I'm trying my best to help you. So please talk to me."
"You're useless","It sounds like I'm not being very helpful right now."
"You can't help me","I'm sorry to hear that. I'm doing my best to help."
"Nobody understands me","I'm trying my best to help you. So please talk to me."
"Not helpful","It sounds like I'm not being very helpful right now."
"Doesn't understand","I'm sorry to hear that. I'm doing my best to help."
"Can't relate","I'm trying my best to help you. So please talk to me."
"Unhelpful","It sounds like I'm not being very helpful right now."
"Can't empathize","I'm sorry to hear that. I'm doing my best to help."
"Doesn't get it","I'm trying my best to help you. So please talk to me."
"Not useful","It sounds like I'm not being very helpful right now."
"Doesn't understand my situation","I'm sorry to hear that. I'm doing my best to help."
"Can't help","I'm trying my best to help you. So please talk to me."
"I hate you","I'm sorry if I offended you in any way. I'm only here to help."
"I don't like you","Forgive me if I did anything to offend you. I only want to help."
"I don't trust you","I'm sorry if I offended you in any way. I'm only here to help."
"Dislike you","Forgive me if I did anything to offend you. I only want to help."
"Not a fan","I'm sorry if I offended you in any way. I'm only here to help."
"Can't stand you","Forgive me if I did anything to offend you. I only want to help."
"Annoyed with you","I'm sorry if I offended you in any way. I'm only here to help."
"Have a problem with you","Forgive me if I did anything to offend you. I only want to help."
"Don't appreciate you","I'm sorry if I offended you in any way. I'm only here to help."
"Don't like your responses","Forgive me if I did anything to offend you. I only want to help."
"Angry with you","I'm sorry if I offended you in any way. I'm only here to help."
"Disapprove of you","Forgive me if I did anything to offend you. I only want to help."
"Frustrated with you","I'm sorry if I offended you in any way. I'm only here to help."
"Upset with you","Forgive me if I did anything to offend you. I only want to help."
"Don't want to interact","I'm sorry if I offended you in any way. I'm only here to help."
"Hate you","I'm sorry if I offended you in any way. I'm only here to help."
"Dislike","Forgive me if I did anything to offend you. I only want to help."
"Don't trust","I'm sorry if I offended you in any way. I'm only here to help."
"Don't like","Forgive me if I did anything to offend you. I only want to help."
"Annoyed","I'm sorry if I offended you in any way. I'm only here to help."
"Angry","Forgive me if I did anything to offend you. I only want to help."
"Upset","I'm sorry if I offended you in any way. I'm only here to help."
"Frustrated","Forgive me if I did anything to offend you. I only want to help."
"Disapprove","I'm sorry if I offended you in any way. I'm only here to help."
"Problem with you","Forgive me if I did anything to offend you. I only want to help."
"Can't stand","I'm sorry if I offended you in any way. I'm only here to help."
"Don't like you","Forgive me if I did anything to offend you. I only want to help."
"Not a fan","I'm sorry if I offended you in any way. I'm only here to help."
"Don't appreciate","Forgive me if I did anything to offend you. I only want to help."
"Negative feelings","I'm sorry if I offended you in any way. I'm only here to help."
"Discontent","Forgive me if I did anything to offend you. I only want to help."
"I am feeling anxious lately","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Feeling anxious","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Anxious lately","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Feeling anxious","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Anxiety issues","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Feeling anxious recently","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Anxious feelings","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"Experiencing anxiety","I have heard that the 3-3-3 rule is the best method to reduce anxiety. In this method, you have to mentally note three things you see, three sounds you hear, and then move three parts of your body. This exercise can help your mind refocus on something else. Give this method a try; I am sure it will help you."
"My time has come","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"Time has come","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"Finally time","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"Moment is here","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"Ready now","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"This is it","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"Now is the time","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"The moment has arrived","Yeah!! The time has come for you to show the world that you are the greatest person alive, and no one else can be as good as you are."
"I can't do this anymore","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Can't do this anymore","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Exhausted","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Feeling overwhelmed","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Can't continue","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Not able to go on","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Done with this","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
"Feeling defeated","If you are really that exhausted, you definitely need a break. Taking a teeny tiny break isn't very harmful. Take some time off, let your mind be at peace, and get back to work with all the energy and enthusiasm that you have."
